POS.,CLUBE,UF,PONTOS
196,Americano,RJ,147
197,Itapemirim,ES,132
198,Linense,SP,132
199,Nova Iguacu,ES,132
200,Novoperário,MS,132
201,Marilia,SP,125
202,Real Brasilia,DF,125
203,Santa Cruz,RS,125
204,Gurupi,TO,110
205,Assu,RN,102
206,Belo Jardim,PE,102
207,Dom Bosco,MT,102
208,Flamengo,PE,102
209,Macapá,AP,102
210,Placido de Castro,AC,102
211,Prudentopolis,PR,102
212,Santa Rita,AL,102
213,SD Sparta,TO,102
214,Lagarto,SE,100
215,Parnahyba,PI,81
216,Audax-SP,SP,76
217,PSTC Procopense,PR,76
218,Sao Francisco,PA,76
219,Sete de Setembro MS,MS,76
220,Mixto,MT,75
221,Princesa de Solimões,AM,71
222,Anápolis,GO,66
223,Comercial-MS,MS,66
224,Desportiva Ferroviaria,ES,66
225,Luziânia,DF,66
226,São Bernardo,SP,65
227,Barbalha,CE,60
228,Atletico-PE,PE,51
229,Genus,RO,51
230,Jacobina,BA,51
231,Metropolitano,SC,51
232,Red Bull Brasil,SP,51
233,Sport Club São Paulo,RS,51
234,Tocantins,TO,51
235,Trem,AP,51
236,Santana EC,AP,50
237,Votuporanguense,SP,45
238,Friburguense,RJ,15
239,Rondoniense,RO,15
