,clube_mandante,clube_visitante,placar_mandante,placar_visitante,posse_de_bola_mandante,posse_de_bola_visitante,tentativas_de_gol_mandante,tentativas_de_gol_visitante,finalizacoes_mandante,finalizacoes_visitante,chutes_fora_mandante,chutes_fora_visitante,chutes_bloqueados_mandante,chutes_bloqueados_visitante,faltas_cobradas_mandante,faltas_cobradas_visitante,escanteios_mandante,escanteios_visitante,impedimentos_mandante,impedimentos_visitante,laterais_cobrados_mandante,laterais_cobrados_visitante,defesas_de_goleiro_mandante,defesas_de_goleiro_visitante,faltas_mandante,faltas_visitante,cartoes_amarelos_mandante,cartoes_amarelos_visitante,cartoes_vermelhos_mandante,cartoes_vermelhos_visitante,total_de_passes_mandante,total_de_passes_visitante,passes_completados_mandante,passes_completados_visitante,desarmes_mandante,desarmes_visitante,ataques_mandante,ataques_visitante,ataques_perigosos_mandante,ataques_perigosos_visitante,urls
55,Avaí,Fortaleza,3,2,50%,50%,12,4,4,3,6,1,2,0,17,17,3,4,2,2,20,20,1,1,16,17,1,3,0,0,436,424,352,344,24,12,117,112,34,38,https://www.flashscore.com.br/jogo/bFbUyMUN/#/resumo-de-jogo/estatisticas-de-jogo/0
56,Palmeiras,Atlético-GO,4,2,49%,51%,28,10,12,3,12,5,4,2,19,14,12,4,2,2,8,12,1,8,12,16,2,1,0,1,358,392,296,326,14,9,86,92,58,20,https://www.flashscore.com.br/jogo/Ia39tpGh/#/resumo-de-jogo/estatisticas-de-jogo/0
57,Botafogo,São Paulo,1,0,33%,67%,17,6,3,2,11,2,3,2,20,15,3,3,1,4,17,18,2,2,17,17,6,3,0,0,274,573,197,470,17,23,98,138,41,53,https://www.flashscore.com.br/jogo/dj2Du4Vb/#/resumo-de-jogo/estatisticas-de-jogo/0
58,América-MG,Fluminense,0,0,22%,78%,9,20,4,3,3,10,2,7,10,12,3,8,0,1,6,21,3,4,12,9,3,1,1,0,183,687,119,614,16,10,54,171,24,94,https://www.flashscore.com.br/jogo/pCYfNMFU/#/resumo-de-jogo/estatisticas-de-jogo/0
59,Athletico-PR,Corinthians,1,1,44%,56%,21,11,2,6,13,2,6,3,7,14,11,4,3,0,21,13,5,1,12,9,2,2,1,1,382,523,315,451,13,10,111,100,55,41,https://www.flashscore.com.br/jogo/tvlZztpU/#/resumo-de-jogo/estatisticas-de-jogo/0
60,Flamengo,Cuiabá,2,0,63%,37%,15,6,6,1,5,5,4,0,14,20,4,3,3,0,19,16,1,4,17,14,1,2,0,0,621,350,561,294,13,14,134,93,45,34,https://www.flashscore.com.br/jogo/AZa1r6ot/#/resumo-de-jogo/estatisticas-de-jogo/0
61,Goiás,Internacional,1,2,53%,47%,6,16,2,8,2,3,2,5,14,15,8,2,4,0,21,19,6,1,11,14,4,3,0,0,426,408,360,326,16,29,104,113,60,32,https://www.flashscore.com.br/jogo/nueQx2FH/#/resumo-de-jogo/estatisticas-de-jogo/0
62,Ceará,Atlético-MG,0,0,52%,48%,16,14,3,2,10,8,3,4,16,16,5,2,1,0,20,20,2,3,14,17,2,3,0,0,476,450,389,360,16,21,143,99,61,27,https://www.flashscore.com.br/jogo/hIeMwr0B/#/resumo-de-jogo/estatisticas-de-jogo/0
63,Red Bull Bragantino,Coritiba,4,2,52%,48%,19,16,7,5,8,6,4,5,13,14,4,5,1,1,11,27,3,4,14,12,2,1,0,0,449,416,363,337,15,20,121,104,41,40,https://www.flashscore.com.br/jogo/Ox45sQ0n/#/resumo-de-jogo/estatisticas-de-jogo/0
64,Botafogo,Avaí,0,1,51%,49%,21,9,7,2,9,4,5,3,27,20,7,1,1,5,25,23,1,7,19,22,4,6,0,1,417,410,313,313,19,15,139,102,40,30,https://www.flashscore.com.br/jogo/r5TWSQog/#/resumo-de-jogo/estatisticas-de-jogo/0
65,Fortaleza,Athletico-PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.flashscore.com.br/jogo/jVWvR4G5/#/resumo-de-jogo/estatisticas-de-jogo/0
66,Coritiba,Palmeiras,0,2,47%,53%,11,16,4,6,3,6,4,4,16,12,5,6,1,2,21,18,4,4,11,13,1,2,1,0,410,470,345,408,21,18,102,105,42,58,https://www.flashscore.com.br/jogo/6LZjO20O/#/resumo-de-jogo/estatisticas-de-jogo/0
67,Goiás,Ceará,1,1,49%,51%,12,20,4,6,6,8,2,6,16,20,2,10,1,3,24,26,5,3,20,14,6,2,0,1,357,372,289,281,13,13,22,22,8,9,https://www.flashscore.com.br/jogo/YgMqQOVB/#/resumo-de-jogo/estatisticas-de-jogo/0
68,São Paulo,América-MG,1,0,48%,52%,15,11,2,5,8,5,5,1,16,18,2,4,2,0,26,30,5,1,14,16,2,2,0,0,406,438,313,330,18,18,26,17,11,10,https://www.flashscore.com.br/jogo/nwzOUnHt/#/resumo-de-jogo/estatisticas-de-jogo/0
69,Internacional,Flamengo,3,1,32%,68%,11,16,4,3,4,8,3,5,14,18,4,4,3,1,11,18,2,1,15,14,3,3,0,0,290,599,223,530,14,8,54,159,34,52,https://www.flashscore.com.br/jogo/xSSzSp1a/#/resumo-de-jogo/estatisticas-de-jogo/0
