,clube_mandante,clube_visitante,placar_mandante,placar_visitante,posse_de_bola_mandante,posse_de_bola_visitante,tentativas_de_gol_mandante,tentativas_de_gol_visitante,finalizacoes_mandante,finalizacoes_visitante,chutes_fora_mandante,chutes_fora_visitante,chutes_bloqueados_mandante,chutes_bloqueados_visitante,faltas_cobradas_mandante,faltas_cobradas_visitante,escanteios_mandante,escanteios_visitante,impedimentos_mandante,impedimentos_visitante,laterais_cobrados_mandante,laterais_cobrados_visitante,defesas_de_goleiro_mandante,defesas_de_goleiro_visitante,faltas_mandante,faltas_visitante,cartoes_amarelos_mandante,cartoes_amarelos_visitante,cartoes_vermelhos_mandante,cartoes_vermelhos_visitante,total_de_passes_mandante,total_de_passes_visitante,passes_completados_mandante,passes_completados_visitante,desarmes_mandante,desarmes_visitante,ataques_mandante,ataques_visitante,ataques_perigosos_mandante,ataques_perigosos_visitante,urls
114,Atlético-MG,Atlético-GO,2,0,56%,44%,12,5,7,0,1,2,4,3,15,18,10,2,2,1,22,17,0,5,14,14,1,2,0,0,523,400,355,274,9,14,138,66,71,25,https://www.flashscore.com.br/jogo/S0ydMLTp/#/resumo-de-jogo/estatisticas-de-jogo/0
115,Internacional,Corinthians,2,2,48%,52%,13,15,5,9,4,4,4,2,10,9,5,6,1,3,18,15,7,3,8,7,2,2,0,0,385,425,319,367,14,12,67,93,38,39,https://www.flashscore.com.br/jogo/rqlmsN5A/#/resumo-de-jogo/estatisticas-de-jogo/0
116,Ceará,Flamengo,2,2,41%,59%,15,11,5,4,4,3,6,4,22,23,8,3,4,0,17,16,2,3,18,22,5,5,0,0,332,485,272,406,13,34,85,49,32,17,https://www.flashscore.com.br/jogo/MZnitsLG/#/resumo-de-jogo/estatisticas-de-jogo/0
117,Avaí,Coritiba,2,1,58%,42%,12,8,6,4,4,3,2,1,12,14,5,7,0,1,15,17,3,4,14,13,3,3,0,0,544,379,459,302,19,20,153,90,34,26,https://www.flashscore.com.br/jogo/dIpQRs6N/#/resumo-de-jogo/estatisticas-de-jogo/0
118,Fortaleza,São Paulo,1,1,54%,46%,12,4,3,2,4,0,5,2,15,20,9,4,3,2,24,21,1,2,16,14,2,3,0,0,381,338,305,247,12,16,123,80,65,32,https://www.flashscore.com.br/jogo/z3dHT3yB/#/resumo-de-jogo/estatisticas-de-jogo/0
119,Juventude,Internacional,1,1,57%,43%,11,8,5,3,6,3,0,2,13,24,6,3,3,1,27,17,2,4,22,13,5,4,0,0,448,351,369,273,20,17,92,110,61,29,https://www.flashscore.com.br/jogo/OShDUqM4/#/resumo-de-jogo/estatisticas-de-jogo/0
120,Red Bull Bragantino,Corinthians,0,1,57%,43%,8,4,2,1,5,2,1,1,9,14,1,1,3,1,31,14,0,2,11,9,1,2,0,0,536,416,450,332,16,17,129,99,59,30,https://www.flashscore.com.br/jogo/Yw00Xoxn/#/resumo-de-jogo/estatisticas-de-jogo/0
121,Santos,Cuiabá,4,1,47%,53%,12,16,7,3,3,7,2,6,14,14,4,8,1,2,19,12,2,3,14,12,1,2,0,0,417,454,348,402,19,13,107,118,26,45,https://www.flashscore.com.br/jogo/U5g9VP6b/#/resumo-de-jogo/estatisticas-de-jogo/0
122,Atlético-GO,Goiás,0,1,77%,23%,33,6,7,3,16,3,10,0,14,13,12,0,2,2,28,18,2,7,12,11,4,4,0,1,531,173,468,105,15,12,130,78,95,24,https://www.flashscore.com.br/jogo/IRoMSNjH/#/resumo-de-jogo/estatisticas-de-jogo/0
123,Palmeiras,Fluminense,1,1,48%,52%,19,8,5,2,6,3,8,3,13,13,6,3,3,0,33,13,1,4,10,13,1,2,0,0,357,403,304,336,17,18,117,59,71,20,https://www.flashscore.com.br/jogo/jFf5W5ih/#/resumo-de-jogo/estatisticas-de-jogo/0
124,Flamengo,Botafogo,0,1,52%,48%,17,13,8,8,9,1,0,4,19,22,10,4,8,1,20,14,7,8,13,18,1,3,0,0,408,387,331,302,31,15,130,86,57,31,https://www.flashscore.com.br/jogo/fm1dYRMu/#/resumo-de-jogo/estatisticas-de-jogo/0
125,Athletico-PR,Ceará,1,0,40%,60%,15,16,9,3,4,10,2,3,8,20,4,9,1,1,33,34,3,8,19,8,5,3,0,0,285,406,211,318,18,18,92,100,33,47,https://www.flashscore.com.br/jogo/QikUQ1LT/#/resumo-de-jogo/estatisticas-de-jogo/0
126,São Paulo,Santos,2,1,57%,43%,10,8,3,3,5,3,2,2,7,17,1,4,2,0,19,17,2,1,15,8,2,4,0,0,459,351,395,286,15,6,106,92,70,27,https://www.flashscore.com.br/jogo/8UHgyewK/#/resumo-de-jogo/estatisticas-de-jogo/0
127,Internacional,Avaí,0,0,60%,40%,23,11,3,4,11,2,9,5,16,15,18,2,0,0,27,17,4,3,15,16,2,4,0,0,536,377,459,296,23,24,165,77,66,17,https://www.flashscore.com.br/jogo/MybUUhGm/#/resumo-de-jogo/estatisticas-de-jogo/0
128,Corinthians,Fortaleza,1,0,56%,44%,6,15,3,5,2,5,1,5,19,15,9,4,1,4,23,30,5,2,14,14,1,3,0,0,421,332,339,246,16,13,128,92,42,43,https://www.flashscore.com.br/jogo/2iHczFhQ/#/resumo-de-jogo/estatisticas-de-jogo/0
129,Coritiba,Fluminense,3,2,55%,45%,20,7,8,4,7,3,5,0,17,14,8,1,1,2,18,16,2,5,13,16,0,4,0,1,438,385,389,312,18,17,127,73,78,17,https://www.flashscore.com.br/jogo/U7poRAFC/#/resumo-de-jogo/estatisticas-de-jogo/0
130,Botafogo,Juventude,1,1,61%,39%,17,8,4,4,7,4,6,0,19,16,6,4,2,3,17,27,3,3,14,17,2,5,0,0,399,253,333,187,15,22,108,84,47,31,https://www.flashscore.com.br/jogo/vD8PVY0s/#/resumo-de-jogo/estatisticas-de-jogo/0
131,Cuiabá,Atlético-GO,1,1,51%,49%,17,14,5,7,7,6,5,1,14,14,4,6,1,0,15,10,6,4,12,14,2,0,0,0,475,472,423,406,12,26,104,98,59,51,https://www.flashscore.com.br/jogo/nqetSj06/#/resumo-de-jogo/estatisticas-de-jogo/0
132,Goiás,Atlético-MG,2,2,31%,69%,7,21,2,5,3,11,2,5,16,21,0,10,0,2,17,11,3,0,21,15,5,4,0,0,253,581,182,513,16,13,84,136,24,72,https://www.flashscore.com.br/jogo/8hdxTWp0/#/resumo-de-jogo/estatisticas-de-jogo/0
133,América-MG,Athletico-PR,1,0,46%,54%,7,13,3,6,4,5,0,2,15,23,6,11,4,3,27,15,6,2,19,12,1,0,0,0,364,420,277,330,21,10,85,123,53,36,https://www.flashscore.com.br/jogo/jgm9TrKD/#/resumo-de-jogo/estatisticas-de-jogo/0
134,Avaí,Goiás,3,2,41%,59%,14,18,4,5,6,4,4,9,22,20,3,5,0,3,16,23,3,1,20,20,4,5,1,0,255,376,182,308,18,21,86,99,38,39,https://www.flashscore.com.br/jogo/Iuk1V4k1/#/resumo-de-jogo/estatisticas-de-jogo/0
135,Atlético-GO,Botafogo,1,1,37%,63%,9,17,2,2,7,4,0,11,8,13,2,7,2,2,24,25,1,1,11,5,2,1,0,0,321,526,244,452,26,20,90,133,34,58,https://www.flashscore.com.br/jogo/KfWcWpze/#/resumo-de-jogo/estatisticas-de-jogo/0
136,Juventude,Cuiabá,0,1,57%,43%,13,10,2,4,8,4,3,2,19,19,6,7,2,1,23,14,3,2,18,19,3,4,1,0,427,317,351,245,14,20,116,101,43,30,https://www.flashscore.com.br/jogo/burkY65r/#/resumo-de-jogo/estatisticas-de-jogo/0
137,Santos,América-MG,3,0,39%,61%,18,19,8,2,5,11,5,6,9,18,3,8,2,1,11,26,2,5,16,8,2,0,0,0,324,487,244,415,20,7,104,128,33,73,https://www.flashscore.com.br/jogo/6mjNxmcR/#/resumo-de-jogo/estatisticas-de-jogo/0
138,Atlético-MG,Coritiba,2,2,61%,39%,20,11,5,4,12,5,3,2,8,10,3,3,0,0,14,12,2,3,10,8,2,1,0,0,657,413,588,351,21,14,139,95,60,35,https://www.flashscore.com.br/jogo/IR9SG5z8/#/resumo-de-jogo/estatisticas-de-jogo/0
139,Fluminense,Internacional,0,1,57%,43%,12,12,2,4,4,4,6,4,14,19,5,4,4,2,17,16,3,2,15,12,5,3,0,0,503,382,430,295,11,18,112,98,46,37,https://www.flashscore.com.br/jogo/WUcAukD8/#/resumo-de-jogo/estatisticas-de-jogo/0
140,Palmeiras,Corinthians,3,0,44%,56%,20,7,7,1,9,3,4,3,12,15,12,4,3,0,18,22,1,4,13,13,1,2,0,0,339,426,267,361,14,16,87,104,44,42,https://www.flashscore.com.br/jogo/SdiJwTsL/#/resumo-de-jogo/estatisticas-de-jogo/0
141,Athletico-PR,Flamengo,1,0,41%,59%,10,11,2,6,5,3,3,2,10,17,6,5,2,1,25,17,6,1,15,10,4,2,0,0,354,501,267,409,17,27,111,116,43,65,https://www.flashscore.com.br/jogo/C2l5UO47/#/resumo-de-jogo/estatisticas-de-jogo/0
142,Ceará,Botafogo,1,3,64%,36%,18,11,4,3,7,5,7,3,17,16,4,2,1,2,30,16,0,3,16,15,1,4,1,0,467,256,373,178,15,25,132,67,57,21,https://www.flashscore.com.br/jogo/QBeJKmyq/#/resumo-de-jogo/estatisticas-de-jogo/0
143,Athletico-PR,Atlético-MG,0,1,44%,56%,12,17,3,5,6,10,3,2,15,10,2,5,1,0,27,25,4,3,9,14,2,3,0,0,411,520,334,438,14,25,123,111,43,49,https://www.flashscore.com.br/jogo/vyBOHoL1/#/resumo-de-jogo/estatisticas-de-jogo/0
144,Internacional,Fortaleza,2,1,51%,49%,18,7,5,3,8,2,5,2,17,13,8,5,0,3,20,16,2,3,15,13,5,5,0,0,474,453,391,349,8,14,127,97,39,28,https://www.flashscore.com.br/jogo/lj4iPTSR/#/resumo-de-jogo/estatisticas-de-jogo/0
145,Red Bull Bragantino,Atlético-GO,4,0,58%,42%,18,5,8,3,3,2,7,0,11,13,13,2,1,2,18,29,3,4,12,9,1,4,0,0,486,366,428,288,16,11,120,70,76,22,https://www.flashscore.com.br/jogo/b1BvSVr9/#/resumo-de-jogo/estatisticas-de-jogo/0
146,Flamengo,São Paulo,3,1,53%,47%,19,6,8,1,9,4,2,1,26,18,2,3,2,1,13,15,0,5,17,25,2,6,0,0,423,368,366,309,18,8,107,77,47,29,https://www.flashscore.com.br/jogo/KACzTBT2/#/resumo-de-jogo/estatisticas-de-jogo/0
147,Santos,Coritiba,2,1,35%,65%,15,22,7,6,5,9,3,7,10,23,4,7,2,0,11,19,5,5,22,10,2,4,0,0,287,516,223,450,24,14,75,147,42,65,https://www.flashscore.com.br/jogo/6REnQ9DL/#/resumo-de-jogo/estatisticas-de-jogo/0
148,Cuiabá,Fluminense,0,1,39%,61%,5,12,1,3,1,8,3,1,13,20,2,5,1,0,19,20,2,1,18,14,2,1,0,0,331,526,244,457,18,17,97,131,35,37,https://www.flashscore.com.br/jogo/bPgRIR5e/#/resumo-de-jogo/estatisticas-de-jogo/0
149,América-MG,Juventude,4,1,46%,54%,22,13,9,4,9,3,4,6,12,22,5,5,2,2,19,17,3,5,19,11,3,0,0,1,378,444,307,364,10,14,106,103,53,35,https://www.flashscore.com.br/jogo/I5Yi4Sj2/#/resumo-de-jogo/estatisticas-de-jogo/0
150,Corinthians,Avaí,3,0,54%,46%,14,15,4,5,6,7,4,3,17,23,7,2,1,5,18,18,5,1,22,12,1,1,0,0,596,504,515,431,16,16,122,99,41,25,https://www.flashscore.com.br/jogo/SzGrRkbF/#/resumo-de-jogo/estatisticas-de-jogo/0
151,Juventude,Red Bull Bragantino,2,2,50%,50%,13,15,7,2,3,8,3,5,17,21,5,4,5,1,19,24,0,5,16,17,4,5,0,0,417,419,339,334,22,14,109,99,79,60,https://www.flashscore.com.br/jogo/EXk9CjqM/#/resumo-de-jogo/estatisticas-de-jogo/0
152,Avaí,América-MG,1,0,58%,42%,13,7,2,1,8,3,3,3,19,24,6,1,3,2,28,27,1,1,20,18,3,4,0,2,542,394,459,298,19,12,120,107,43,32,https://www.flashscore.com.br/jogo/C8Vq6lMk/#/resumo-de-jogo/estatisticas-de-jogo/0
153,São Paulo,Athletico-PR,4,0,54%,46%,18,7,8,0,7,5,3,2,15,19,5,5,2,2,18,8,0,4,17,14,1,3,0,0,514,434,453,377,17,8,93,86,35,32,https://www.flashscore.com.br/jogo/OrcdFha3/#/resumo-de-jogo/estatisticas-de-jogo/0
154,Fortaleza,Cuiabá,0,1,65%,35%,22,9,5,4,7,3,10,2,23,23,7,1,1,0,24,16,3,5,22,23,2,3,0,0,445,246,375,171,11,17,122,77,45,16,https://www.flashscore.com.br/jogo/hOlDBAbS/#/resumo-de-jogo/estatisticas-de-jogo/0
155,Atlético-MG,Internacional,2,0,52%,48%,15,6,5,1,8,4,2,1,25,19,3,3,2,0,17,20,1,3,12,18,2,4,0,0,533,486,466,415,9,19,103,112,46,36,https://www.flashscore.com.br/jogo/WzeBik7d/#/resumo-de-jogo/estatisticas-de-jogo/0
156,Botafogo,Corinthians,1,3,56%,44%,9,15,4,8,4,5,1,2,26,6,2,4,0,1,26,18,5,3,6,18,1,4,0,0,473,382,399,304,13,19,148,84,46,34,https://www.flashscore.com.br/jogo/KAj5DWTF/#/resumo-de-jogo/estatisticas-de-jogo/0
157,Coritiba,Goiás,3,0,51%,49%,17,7,9,0,3,5,5,2,14,13,7,3,3,2,16,21,0,6,10,12,2,4,0,0,449,421,384,352,14,14,103,122,38,37,https://www.flashscore.com.br/jogo/6VUm58yd/#/resumo-de-jogo/estatisticas-de-jogo/0
158,Palmeiras,Ceará,2,3,55%,45%,17,19,4,9,8,8,5,2,17,27,11,8,3,0,24,19,6,2,17,14,4,10,0,1,377,307,306,214,11,19,81,123,65,33,https://www.flashscore.com.br/jogo/67n1ECE9/#/resumo-de-jogo/estatisticas-de-jogo/0
159,Atlético-GO,Flamengo,1,1,44%,56%,10,12,3,3,2,5,5,4,14,8,4,10,1,2,20,15,2,2,7,11,3,2,0,0,402,501,331,439,10,14,89,128,30,80,https://www.flashscore.com.br/jogo/YHWu7U6q/#/resumo-de-jogo/estatisticas-de-jogo/0
160,São Paulo,Goiás,3,3,63%,37%,20,13,4,9,10,2,6,2,13,7,6,3,0,3,19,20,6,1,7,11,2,5,0,0,539,305,470,247,16,15,109,84,74,42,https://www.flashscore.com.br/jogo/zaWLGd9c/#/resumo-de-jogo/estatisticas-de-jogo/0
161,Ceará,Avaí,1,0,45%,55%,14,16,5,2,8,8,1,6,17,18,3,3,1,1,24,18,2,4,17,14,0,2,0,0,365,442,284,367,25,20,97,115,56,38,https://www.flashscore.com.br/jogo/x44e0yPG/#/resumo-de-jogo/estatisticas-de-jogo/0
162,Athletico-PR,Internacional,0,0,60%,40%,17,17,5,3,8,10,4,4,15,11,5,5,4,2,27,18,3,5,7,13,1,2,0,0,502,338,424,251,20,20,112,122,49,43,https://www.flashscore.com.br/jogo/IJ7Ocr3I/#/resumo-de-jogo/estatisticas-de-jogo/0
163,Red Bull Bragantino,Avaí,4,0,46%,54%,37,8,13,2,11,3,13,3,7,6,19,7,1,0,17,27,2,9,5,6,1,3,0,0,351,434,268,354,22,10,84,109,64,40,https://www.flashscore.com.br/jogo/4IUceksK/#/resumo-de-jogo/estatisticas-de-jogo/0
164,Juventude,Atlético-MG,1,2,56%,44%,17,8,3,4,8,2,6,2,11,11,6,6,1,0,21,15,2,2,11,11,2,1,0,0,573,477,520,418,10,25,128,78,68,25,https://www.flashscore.com.br/jogo/tvdjxAzr/#/resumo-de-jogo/estatisticas-de-jogo/0
165,Internacional,Coritiba,3,0,56%,44%,15,14,8,4,4,5,3,5,18,8,1,10,0,2,11,20,4,5,9,16,2,4,0,0,550,426,486,377,20,12,141,104,39,31,https://www.flashscore.com.br/jogo/WjVoTWcR/#/resumo-de-jogo/estatisticas-de-jogo/0
166,Cuiabá,Ceará,0,0,45%,55%,14,8,1,1,8,3,5,4,15,16,7,6,1,6,28,19,1,1,15,10,0,2,0,0,355,440,282,369,22,16,104,108,58,45,https://www.flashscore.com.br/jogo/dAbUXCTk/#/resumo-de-jogo/estatisticas-de-jogo/0
167,Juventude,Santos,1,2,34%,66%,10,18,1,9,4,7,5,2,22,29,4,9,0,2,18,19,7,0,19,14,1,2,1,0,325,630,248,555,20,17,78,155,21,79,https://www.flashscore.com.br/jogo/ERdIvOp5/#/resumo-de-jogo/estatisticas-de-jogo/0
168,Corinthians,Juventude,2,0,57%,43%,13,8,3,2,7,3,3,3,16,18,4,5,3,4,21,29,2,1,15,12,1,4,0,0,571,426,495,349,19,16,125,90,43,29,https://www.flashscore.com.br/jogo/4EUST6Wn/#/resumo-de-jogo/estatisticas-de-jogo/0
169,Cuiabá,Corinthians,1,0,39%,61%,11,11,4,4,5,6,2,1,10,10,4,3,0,0,17,24,4,3,10,11,1,2,1,0,352,552,279,481,12,12,92,112,52,56,https://www.flashscore.com.br/jogo/xS65C51C/#/resumo-de-jogo/estatisticas-de-jogo/0
170,América-MG,Cuiabá,2,1,52%,48%,16,5,6,2,7,1,3,2,20,19,8,4,3,4,18,32,1,4,11,11,0,1,0,0,447,420,340,320,30,18,157,116,75,47,https://www.flashscore.com.br/jogo/jw5ebFt2/#/resumo-de-jogo/estatisticas-de-jogo/0
171,Fortaleza,Ceará,0,1,41%,59%,11,19,3,7,6,7,2,5,19,17,4,1,0,2,23,13,6,3,18,18,5,4,1,0,298,450,218,393,9,7,93,114,35,45,https://www.flashscore.com.br/jogo/xWtgXQKl/#/resumo-de-jogo/estatisticas-de-jogo/0
172,Goiás,Red Bull Bragantino,1,1,52%,48%,17,14,2,4,7,8,8,2,23,18,6,1,0,1,23,17,3,1,18,22,2,3,0,1,359,357,291,279,14,12,100,85,71,45,https://www.flashscore.com.br/jogo/GKCr1Hdq/#/resumo-de-jogo/estatisticas-de-jogo/0
173,Flamengo,Goiás,1,0,64%,36%,12,3,6,0,5,3,1,0,22,15,6,4,1,3,8,24,0,5,14,19,1,3,0,0,578,317,510,247,13,19,132,81,58,31,https://www.flashscore.com.br/jogo/2mLDcrji/#/resumo-de-jogo/estatisticas-de-jogo/0
174,Palmeiras,Red Bull Bragantino,2,0,48%,52%,14,11,7,2,4,5,3,4,13,15,7,4,3,0,28,22,2,5,11,14,2,2,0,0,385,414,311,335,13,13,44,81,27,35,https://www.flashscore.com.br/jogo/xWInqqyb/#/resumo-de-jogo/estatisticas-de-jogo/0
175,Red Bull Bragantino,Atlético-MG,1,1,38%,62%,6,18,1,4,4,4,1,10,8,22,3,10,1,2,20,28,3,0,13,5,3,2,1,0,384,648,299,547,18,12,110,126,46,42,https://www.flashscore.com.br/jogo/tvKHd25c/#/resumo-de-jogo/estatisticas-de-jogo/0
176,Atlético-MG,América-MG,1,2,68%,32%,23,12,8,9,9,1,6,2,19,6,11,3,3,3,20,17,7,7,7,22,4,5,0,1,538,255,431,153,19,19,142,74,73,28,https://www.flashscore.com.br/jogo/rBlkQUUI/#/resumo-de-jogo/estatisticas-de-jogo/0
177,Ceará,Red Bull Bragantino,0,1,56%,44%,14,18,4,6,6,8,4,4,20,15,5,4,4,0,30,23,5,4,11,20,1,5,0,1,445,355,341,275,12,20,128,102,50,32,https://www.flashscore.com.br/jogo/0SdYTCVg/#/resumo-de-jogo/estatisticas-de-jogo/0
178,Red Bull Bragantino,São Paulo,1,1,33%,67%,15,24,3,7,8,12,4,5,13,14,6,9,1,2,13,23,6,2,13,12,4,2,0,0,242,495,164,412,18,18,70,119,38,60,https://www.flashscore.com.br/jogo/pY1Ev9SE/#/resumo-de-jogo/estatisticas-de-jogo/0
179,Flamengo,Palmeiras,0,0,56%,44%,17,10,2,2,9,3,6,5,22,17,9,6,1,1,20,29,2,2,15,21,3,4,0,0,444,347,383,265,24,26,131,82,37,38,https://www.flashscore.com.br/jogo/UwJkxyOD/#/resumo-de-jogo/estatisticas-de-jogo/0
180,Goiás,Palmeiras,1,1,25%,75%,9,22,6,6,2,11,1,5,8,16,2,6,0,2,18,34,5,5,16,7,4,0,0,0,197,605,123,510,13,13,58,150,27,88,https://www.flashscore.com.br/jogo/KYfNJ7jk/#/resumo-de-jogo/estatisticas-de-jogo/0
181,Fluminense,Santos,0,0,66%,34%,26,3,6,1,11,2,9,0,27,20,8,1,0,4,16,19,1,6,14,18,1,0,0,0,545,285,481,204,18,31,153,76,51,19,https://www.flashscore.com.br/jogo/phbhGYqc/#/resumo-de-jogo/estatisticas-de-jogo/0
182,Fortaleza,Athletico-PR,0,0,63%,37%,23,7,6,0,13,6,4,1,13,15,7,1,1,2,29,26,0,6,13,12,1,3,0,0,499,297,405,194,13,25,149,87,76,33,https://www.flashscore.com.br/jogo/jVWvR4G5/#/resumo-de-jogo/estatisticas-de-jogo/0
183,Athletico-PR,Santos,2,2,42%,58%,14,14,4,3,7,9,3,2,18,39,7,6,2,0,18,25,1,2,21,11,5,3,0,0,295,418,230,342,15,10,91,109,42,36,https://www.flashscore.com.br/jogo/KUKZbnXC/#/resumo-de-jogo/estatisticas-de-jogo/0
